score,time_seconds,collisions_seconds,seed
18,1200,4526.81,348097
10,1200,4000.44,970731
7,1200,3894.2,548820
12,1200,4059.41,408056
18,1200,3622.53,95760
18,1200,3853.22,863327
20,1200,3701.84,603964
21,1200,3787.22,337946
8,1200,3906.86,104923
11,1200,3935.3,44088
10,1200,3694.42,899755
17,1200,3357.66,722200
16,1200,3773.52,558507
19,1200,3460.61,462585
11,1200,3692.5,332656
18,1200,3465.38,307505
17,1200,3859.48,233816
24,1200,3337.97,166546
12,1200,3715.73,107656
18,1200,3585.19,60695
17,1200,3624.69,949153
14,1200,4205.25,959983
14,1200,3760.45,62015
19,1200,3197.09,110730
12,1200,4167.73,232260
14,1200,3728.42,350321
14,1200,4498.95,345291
13,1200,4200.83,449469
16,1200,3542.62,450890
13,1200,4400.84,451586

Averages
score 15.03
collisions_seconds 3818.57
