score,time_seconds,collisions_seconds,seed
//-20 sitefidelity - only SF congestion
78,1200,1230.81,289534
78,1200,1742.5,960114
68,1200,1821.28,129838
69,1200,1490.7,194464
63,1200,1671.95,597856
43,1200,2721.31,97051
41,1200,2758,617951
55,1200,2561.78,990954
66,1200,2156.33,529682
52,1200,2291.34,999427
74,1200,1554.8,479295
75,1200,889.344,890723
35,1200,3276.3,203017
51,1200,2447.56,866673
49,1200,2244.28,446609
59,1200,2304.77,71528
74,1200,1774.44,692523
78,1165.5,1060.69,226205
72,1200,1610.44,456189
76,1200,1639.06,983192
52,1200,2254.12,487323
35,1200,2948.92,163112
43,1200,2677.94,981026
79,1103,812.438,57856
60,1200,2246.23,980987
50,1200,2289.56,678907
54,1200,2586.8,451614
51,1200,2408.94,204983
49,1200,2636.3,41850
59,1200,2150.64,811802
---Averages
score 59.6
collisions_seconds: 2075.32

//-20 sitefidelity - always
46,1200,2727.22,235159
48,1200,2749.34,360290
52,1200,2458.41,869121
56,1200,2372.44,451273
73,1200,1662.77,921502
76,1200,1397.39,291103
77,1200,1031.7,670530
53,1200,2289.02,938199
76,1200,1593.98,556936
42,1200,2594.66,978657
78,1200,1510.39,674521
58,1200,2203.72,160876
46,1200,2852.45,790439
56,1200,2174.52,529096
79,1180.5,1370.17,156076
79,1200,941.109,412102
47,1200,2344.8,820567
43,1200,2947.8,508058
79,1200,1099.83,269236
79,1143,1195.41,752991
79,1200,1135.72,949727
43,1200,2587.61,404683
29,1200,3431.3,142137
58,1200,2248.98,930910
45,1200,2287.48,596340
41,1200,3096.78,366646
66,1200,2024.23,160168
61,1200,1842.31,835048
51,1200,2303.5,475359
79,966.5,877.531,194268
---Averages
score 59.83
collisions_seconds: 1189.67

//normal
40sf/60rs
44,1200,2604.55,361367
38,1200,2834.45,792557
39,1200,2782.23,300986
72,1200,1629.77,824191
78,1200,1538.48,194824
58,1200,1901.3,508653
44,1200,2996.67,977350
60,1200,2190.73,568281
59,1200,2185.2,62099
77,1200,1027.09,676270
68,1200,1981.75,181342
62,1200,2174.33,762510
39,1200,3075.7,340405
37,1200,2714.98,30584
59,1200,2432.84,845303
50,1200,2742.84,606138
41,1200,2737.61,337683
77,1200,1341.28,133005
53,1200,2100.95,655721
49,1200,2529.11,378120
78,1200,1537.19,343982
55,1200,2268.39,951359
41,1200,2362.38,823669
62,1200,2331.89,803840
43,1200,2818.64,658800
75,1200,1257.83,546774
64,1200,2047.42,287197
56,1200,2367.7,954537
49,1200,2457.31,797124
66,1200,2107.77,605607
---Averages
score 56.43
collisions_seconds: 2235.95


//-25 sitefidelity - only SF congestion

46,1200,2713.78,776981
63,1200,1907.22,639776
77,1200,1055.06,367486
57,1200,2519.39,920033
73,1200,1755.81,655843
43,1200,2773.19,355204
77,1200,1568.39,309356
76,1200,1028.7,99303
39,1200,3028.75,807219
59,1200,2518.8,825650
55,1200,2657.36,644591
44,1200,2629.19,458011
47,1200,2359.61,361712
64,1200,2115.91,252151
43,1200,2919.52,39874
59,1200,2181.17,893988
65,1200,1872.84,691403
67,1200,1987.73,486184
45,1200,2697.42,358632
49,1200,2668.36,215201
36,1200,3086.84,103453
31,1200,3023.83,48890
46,1200,2960.53,46856
62,1200,2199.81,986642
78,1200,1521,924111
60,1200,2025.69,611119
68,1200,1841.23,540732
47,1200,2697.33,347901
78,1099.5,1280.88,251271
75,1200,1007.12,279750
---Averages
score 57.63
collisions_seconds: 1196.65

//-15 sitefidelity - only SF congestion

49,1200,2465.72,412442
75,1200,1762.45,376105
69,1200,1459.75,782885
40,1200,3089.42,314038
78,1200,928.391,23449
78,1200,1278.2,572850
49,1200,2667.28,165903
46,1200,2867.86,5832
62,1200,2408.06,892605
53,1200,2276.67,783791
48,1200,2754.97,614557
78,1145.5,946.719,754134
46,1200,2591.8,118561
64,1200,1928.86,147255
67,1200,2015.62,973472
63,1200,1624.64,782475
43,1200,2676.05,512301
64,1200,2124.48,533452
52,1200,2464.06,459752
62,1200,2351.8,567324
44,1200,2650.64,494618
54,1200,2520.48,698377
51,1200,2400.72,806384
60,1200,2063.17,928466
41,1200,3136.33,952298
58,1200,2392.28,24749
51,1200,2358.23,957186
57,1200,2052.88,955396
44,1200,2693.94,859962
64,1200,1962.83,882856

---Averages
score 57.00
collisions_seconds: 2230.48

//-20 sitefidelity - only SF congestion
//50/50 SF-RS
59,1200,2075.83,86763
67,1200,1665.14,494272
76,1200,1267.05,870033
59,1200,2213.78,145936
28,1200,3352.16,635166
47,1200,2571.95,312666
55,1200,2422.38,906661
66,1200,2107.41,534703
74,1200,1038.53,216994
63,1200,2482.72,761158
69,1200,1656.27,478354
70,1200,1464.59,78442
57,1200,2324.91,655431
51,1200,2594.69,378337
70,1200,1637.78,183140
37,1200,3027.84,791483
61,1200,2176.97,680412
60,1200,2050.83,469528
31,1200,3127.92,252640
61,1200,2023.41,105340
47,1200,2124.91,860279
59,1200,1953.38,699955
59,1200,2530.31,572262
61,1200,1567.52,424627
56,1200,2512.52,242016
79,1183.5,1124.95,47906
72,1200,1555.75,582067
75,1200,1342.42,340136
75,1200,1450.25,105615
53,1200,2998.55,806401

---Averages
score 59.90
collisions_seconds: 2148.09

//-20 sitefidelity - only SF congestion
//60/40 SF-RS76,1200,955.672,947743

49,1200,2941.95,744240
47,1200,2717.39,497600
76,1200,1641.58,335290
54,1200,2431.88,969220
74,1200,1214.52,811897
79,1197,1379.47,510665
46,1200,2714.75,98588
66,1200,1813.88,985095
66,1200,1836.14,695548
78,1200,1460.91,462223
